YearStart,YearEnd,LocationAbbr,State,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,58.4,58.4,,,54.7,62,1482,,,,Male,,,"(64.845079957001, -147.722059036)",PA,PA1,Q043,VALUE,2,Sex,Male,SEX,MALE
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,Value,28.9,28.9,,,26,32,1776,,,,Female,,,"(64.845079957001, -147.722059036)",PA,PA1,Q046,VALUE,2,Sex,Female,SEX,FEMALE
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,37.8,37.8,,,34.3,41.4,1468,,,,Male,,,"(64.845079957001, -147.722059036)",PA,PA1,Q045,VALUE,2,Sex,Male,SEX,MALE
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,57.4,57.4,,,54,60.7,1730,,,,Female,,,"(64.845079957001, -147.722059036)",PA,PA1,Q043,VALUE,2,Sex,Female,SEX,FEMALE
2011,2011,AK,Alaska,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,Value,38.6,38.6,,,35,42.3,1518,,,,Male,,,"(64.845079957001, -147.722059036)",PA,PA1,Q046,VALUE,2,Sex,Male,SEX,MALE
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011,Value,30.5,30.5,,,28.7,32.4,4723,,,,Female,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q037,VALUE,1,Sex,Female,SEX,FEMALE
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011,Value,29.6,29.6,,,27.2,32.1,2531,,,,Male,,,"(32.840571122, -86.631860762)",PA,PA1,Q047,VALUE,1,Sex,Male,SEX,MALE
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,45.4,45.4,,,42.7,48.1,2441,,,,Male,,,"(32.840571122, -86.631860762)",PA,PA1,Q043,VALUE,1,Sex,Male,SEX,MALE
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011,Value,32.3,32.3,,,29.9,34.7,2581,,,,Male,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Sex,Male,SEX,MALE
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,Value,19.8,19.8,,,18.2,21.5,4902,,,,Female,,,"(32.840571122, -86.631860762)",PA,PA1,Q046,VALUE,1,Sex,Female,SEX,FEMALE
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,25.3,25.3,,,23,27.7,2429,,,,Male,,,"(32.840571122, -86.631860762)",PA,PA1,Q045,VALUE,1,Sex,Male,SEX,MALE
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,Value,30.1,30.1,,,27.7,32.7,2513,,,,Male,,,"(32.840571122, -86.631860762)",PA,PA1,Q046,VALUE,1,Sex,Male,SEX,MALE
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011,Value,39,39,,,36.5,41.6,2581,,,,Male,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q037,VALUE,1,Sex,Male,SEX,MALE
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,22.7,22.7,,,21,24.5,4723,,,,Female,,,"(32.840571122, -86.631860762)",PA,PA1,Q045,VALUE,1,Sex,Female,SEX,FEMALE
2011,2011,AL,Alabama,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011,Value,31.8,31.8,,,30,33.6,4723,,,,Female,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Sex,Female,SEX,FEMALE
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,Value,17.3,17.3,,,15.3,19.6,2424,,,,Male,,,"(32.840571122, -86.631860762)",PA,PA1,Q044,VALUE,1,Sex,Male,SEX,MALE
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011,Value,35.3,35.3,,,33.4,37.2,4939,,,,Female,,,"(32.840571122, -86.631860762)",PA,PA1,Q047,VALUE,1,Sex,Female,SEX,FEMALE
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,39.6,39.6,,,37.6,41.6,4750,,,,Female,,,"(32.840571122, -86.631860762)",PA,PA1,Q043,VALUE,1,Sex,Female,SEX,FEMALE
2011,2011,AL,Alabama,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,Value,12.8,12.8,,,11.5,14.3,4721,,,,Female,,,"(32.840571122, -86.631860762)",PA,PA1,Q044,VALUE,1,Sex,Female,SEX,FEMALE
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011,Value,28.6,28.6,,,26.1,31.2,2846,,,,Female,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q037,VALUE,5,Sex,Female,SEX,FEMALE
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,24.8,24.8,,,22.2,27.5,2708,,,,Female,,,"(34.748650124, -92.274490743)",PA,PA1,Q045,VALUE,5,Sex,Female,SEX,FEMALE
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,Value,19.1,19.1,,,16.9,21.5,2813,,,,Female,,,"(34.748650124, -92.274490743)",PA,PA1,Q046,VALUE,5,Sex,Female,SEX,FEMALE
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011,Value,34.1,34.1,,,31.5,36.9,2843,,,,Female,,,"(34.748650124, -92.274490743)",PA,PA1,Q047,VALUE,5,Sex,Female,SEX,FEMALE
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011,Value,27.5,27.5,,,24.5,30.8,1606,,,,Male,,,"(34.748650124, -92.274490743)",PA,PA1,Q047,VALUE,5,Sex,Male,SEX,MALE
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,48.5,48.5,,,44.7,52.3,1541,,,,Male,,,"(34.748650124, -92.274490743)",PA,PA1,Q043,VALUE,5,Sex,Male,SEX,MALE
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,43,43,,,40.1,46,2727,,,,Female,,,"(34.748650124, -92.274490743)",PA,PA1,Q043,VALUE,5,Sex,Female,SEX,FEMALE
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011,Value,31.2,31.2,,,28.5,33.9,2846,,,,Female,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Sex,Female,SEX,FEMALE
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011,Value,39.3,39.3,,,35.9,42.9,1681,,,,Male,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q037,VALUE,5,Sex,Male,SEX,MALE
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,Value,30.6,30.6,,,27,34.4,1584,,,,Male,,,"(34.748650124, -92.274490743)",PA,PA1,Q046,VALUE,5,Sex,Male,SEX,MALE
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,31.1,31.1,,,27.6,34.7,1531,,,,Male,,,"(34.748650124, -92.274490743)",PA,PA1,Q045,VALUE,5,Sex,Male,SEX,MALE
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,Value,20.5,20.5,,,17.3,24.2,1521,,,,Male,,,"(34.748650124, -92.274490743)",PA,PA1,Q044,VALUE,5,Sex,Male,SEX,MALE
2011,2011,AR,Arkansas,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,Value,13.2,13.2,,,11.2,15.4,2699,,,,Female,,,"(34.748650124, -92.274490743)",PA,PA1,Q044,VALUE,5,Sex,Female,SEX,FEMALE
2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011,Value,30.7,30.7,,,27.5,34.1,1681,,,,Male,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q036,VALUE,5,Sex,Male,SEX,MALE
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011,Value,46.1,46.1,,,42.5,49.7,2400,,,,Male,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q037,VALUE,4,Sex,Male,SEX,MALE
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011,Value,24.4,24.4,,,21.5,27.6,2474,,,,Male,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Sex,Male,SEX,MALE
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,Value,28.5,28.5,,,25.3,32,2337,,,,Male,,,"(34.86597028, -111.763811277)",PA,PA1,Q044,VALUE,4,Sex,Male,SEX,MALE
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011,Value,24.5,24.5,,,21.8,27.4,3775,,,,Female,,,"(34.86597028, -111.763811277)",PA,PA1,Q047,VALUE,4,Sex,Female,SEX,FEMALE
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011,Value,23.7,23.7,,,20.6,27,2422,,,,Male,,,"(34.86597028, -111.763811277)",PA,PA1,Q047,VALUE,4,Sex,Male,SEX,MALE
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,Value,38.6,38.6,,,35.2,42.2,2390,,,,Male,,,"(34.86597028, -111.763811277)",PA,PA1,Q046,VALUE,4,Sex,Male,SEX,MALE
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,35.2,35.2,,,32,38.7,2348,,,,Male,,,"(34.86597028, -111.763811277)",PA,PA1,Q045,VALUE,4,Sex,Male,SEX,MALE
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011,Value,25.8,25.8,,,22.9,29,3676,,,,Female,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q036,VALUE,4,Sex,Female,SEX,FEMALE
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,50.7,50.7,,,47.6,53.8,3638,,,,Female,,,"(34.86597028, -111.763811277)",PA,PA1,Q043,VALUE,4,Sex,Female,SEX,FEMALE
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,30.9,30.9,,,28.2,33.7,3613,,,,Female,,,"(34.86597028, -111.763811277)",PA,PA1,Q045,VALUE,4,Sex,Female,SEX,FEMALE
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,Value,26.5,26.5,,,23.9,29.3,3697,,,,Female,,,"(34.86597028, -111.763811277)",PA,PA1,Q046,VALUE,4,Sex,Female,SEX,FEMALE
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,Value,19.8,19.8,,,17.6,22.3,3578,,,,Female,,,"(34.86597028, -111.763811277)",PA,PA1,Q044,VALUE,4,Sex,Female,SEX,FEMALE
2011,2011,AZ,Arizona,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,54.8,54.8,,,51.1,58.4,2358,,,,Male,,,"(34.86597028, -111.763811277)",PA,PA1,Q043,VALUE,4,Sex,Male,SEX,MALE
2011,2011,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011,Value,29.1,29.1,,,26.3,31.9,3581,,,,Female,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q037,VALUE,4,Sex,Female,SEX,FEMALE
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,58.9,58.9,,,57.3,60.5,6828,,,,Male,,,"(37.638640123, -120.999999538)",PA,PA1,Q043,VALUE,6,Sex,Male,SEX,MALE
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,Value,20.4,20.4,,,19.3,21.6,9869,,,,Female,,,"(37.638640123, -120.999999538)",PA,PA1,Q044,VALUE,6,Sex,Female,SEX,FEMALE
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,37.4,37.4,,,35.8,39,6812,,,,Male,,,"(37.638640123, -120.999999538)",PA,PA1,Q045,VALUE,6,Sex,Male,SEX,MALE
2011,2011,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011,Value,23.1,23.1,,,21.8,24.5,7159,,,,Male,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q036,VALUE,6,Sex,Male,SEX,MALE
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011,Value,18.1,18.1,,,16.9,19.4,6901,,,,Male,,,"(37.638640123, -120.999999538)",PA,PA1,Q047,VALUE,6,Sex,Male,SEX,MALE
2011,2011,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011,Value,28.5,28.5,,,27.3,29.8,9929,,,,Female,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q037,VALUE,6,Sex,Female,SEX,FEMALE
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,Value,37.9,37.9,,,36.3,39.5,6839,,,,Male,,,"(37.638640123, -120.999999538)",PA,PA1,Q046,VALUE,6,Sex,Male,SEX,MALE
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,Value,27,27,,,25.5,28.5,6792,,,,Male,,,"(37.638640123, -120.999999538)",PA,PA1,Q044,VALUE,6,Sex,Male,SEX,MALE
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,Value,26.3,26.3,,,25.1,27.6,9938,,,,Female,,,"(37.638640123, -120.999999538)",PA,PA1,Q046,VALUE,6,Sex,Female,SEX,FEMALE
2011,2011,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011,Value,24.5,24.5,,,23.3,25.7,9929,,,,Female,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q036,VALUE,6,Sex,Female,SEX,FEMALE
2011,2011,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,2011,Value,44.1,44.1,,,42.5,45.7,7159,,,,Male,,,"(37.638640123, -120.999999538)",OWS,OWS1,Q037,VALUE,6,Sex,Male,SEX,MALE
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,34.9,34.9,,,33.6,36.2,9904,,,,Female,,,"(37.638640123, -120.999999538)",PA,PA1,Q045,VALUE,6,Sex,Female,SEX,FEMALE
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,57.5,57.5,,,56,58.9,9932,,,,Female,,,"(37.638640123, -120.999999538)",PA,PA1,Q043,VALUE,6,Sex,Female,SEX,FEMALE
2011,2011,CA,California,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,2011,Value,20.1,20.1,,,19,21.3,10026,,,,Female,,,"(37.638640123, -120.999999538)",PA,PA1,Q047,VALUE,6,Sex,Female,SEX,FEMALE
2011,2011,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,2011,Value,21.1,21.1,,,19.6,22.7,5700,,,,Male,,,"(38.843840757, -106.133610921)",OWS,OWS1,Q036,VALUE,8,Sex,Male,SEX,MALE
2011,2011,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,2011,Value,32.4,32.4,,,30.8,34.1,7319,,,,Female,,,"(38.843840757, -106.133610921)",PA,PA1,Q046,VALUE,8,Sex,Female,SEX,FEMALE
2011,2011,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,41.8,41.8,,,39.8,43.8,5199,,,,Male,,,"(38.843840757, -106.133610921)",PA,PA1,Q045,VALUE,8,Sex,Male,SEX,MALE
2011,2011,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,61.8,61.8,,,59.8,63.7,5230,,,,Male,,,"(38.843840757, -106.133610921)",PA,PA1,Q043,VALUE,8,Sex,Male,SEX,MALE
2011,2011,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,61.9,61.9,,,60.2,63.6,7119,,,,Female,,,"(38.843840757, -106.133610921)",PA,PA1,Q043,VALUE,8,Sex,Female,SEX,FEMALE
2011,2011,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,Value,25.6,25.6,,,24,27.2,7052,,,,Female,,,"(38.843840757, -106.133610921)",PA,PA1,Q044,VALUE,8,Sex,Female,SEX,FEMALE
2011,2011,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),2011,Value,39.5,39.5,,,37.8,41.2,7063,,,,Female,,,"(38.843840757, -106.133610921)",PA,PA1,Q045,VALUE,8,Sex,Female,SEX,FEMALE
2011,2011,CO,Colorado,BRFSS,Physical Activity,Physical Activity - Behavior,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,2011,Value,28.9,28.9,,,27.1,30.8,5171,,,,Male,,,"(38.843840757, -106.133610921)",PA,PA1,Q044,VALUE,8,Sex,Male,SEX,MALE
